Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,date,Alabama_fit,Alaska_fit,Arizona_fit,Arkansas_fit,California_fit,Colorado_fit,Connecticut_fit,Delaware_fit,District of Columbia_fit,Florida_fit,Georgia_fit,Hawaii_fit,Idaho_fit,Illinois_fit,Indiana_fit,Iowa_fit,Kansas_fit,Kentucky_fit,Louisiana_fit,Maine_fit,Maryland_fit,Massachusetts_fit,Michigan_fit,Minnesota_fit,Mississippi_fit,Missouri_fit,Montana_fit,Nebraska_fit,Nevada_fit,New Hampshire_fit,New Jersey_fit,New Mexico_fit,New York_fit,North Carolina_fit,North Dakota_fit,Ohio_fit,Oklahoma_fit,Oregon_fit,Pennsylvania_fit,Rhode Island_fit,South Carolina_fit,South Dakota_fit,Tennessee_fit,Texas_fit,Utah_fit,Vermont_fit,Virginia_fit,Washington_fit,West Virginia_fit,Wisconsin_fit,Wyoming_fit
201.99999999999994,9.000000000000005,249.00000000000009,45.000000000000036,1533.0000000000002,552.0,1639.0000000000007,91.99999999999997,138.99999999999997,986.9999999999992,880.9999999999999,11.999999999999991,53.99999999999996,1688.0000000000005,706.0000000000001,95.99999999999991,113.00000000000001,191.0,1599.0,44.00000000000004,748.0000000000006,2359.999999999999,2976.9999999999995,199.99999999999991,201.00000000000003,252.00000000000009,13.99999999999999,46.99999999999999,194.99999999999991,50.99999999999997,5426.0,77.99999999999996,20212.000000000007,281.0,14.999999999999998,655.9999999999994,178.99999999999986,82.99999999999996,1723.999999999999,189.00000000000003,149.99999999999986,9.000000000000005,170.99999999999997,604.0000000000003,34.99999999999999,43.0,372.9999999999998,711.0000000000007,30.99999999999999,258.00000000000006,7.0000000000000036,2020-04-23,191.0,9.0,229.0,43.0,1544.0,615.0,1687.0,97.0,144.0,972.0,870.0,15.0,55.0,1673.0,696.0,98.0,110.0,191.0,1603.0,46.0,760.0,2421.0,3007.0,209.0,191.0,251.0,15.0,47.0,189.0,46.0,5341.0,78.0,21349.0,282.0,14.0,648.0,184.0,83.0,1580.0,189.0,147.0,8.0,165.0,587.0,35.0,47.0,380.0,711.0,30.0,254.0,6.0
209.00000000000006,9.000000000000005,266.00000000000017,46.99999999999999,1621.0,674.0000000000002,1767.0000000000007,100.0,152.99999999999997,1046.0000000000002,898.9999999999993,12.999999999999991,53.99999999999996,1795.000000000001,741.0000000000007,106.99999999999999,117.99999999999991,200.00000000000009,1659.9999999999995,46.99999999999998,798.0000000000007,2555.9999999999995,3084.999999999998,220.99999999999994,209.00000000000003,272.0000000000002,13.99999999999999,49.99999999999997,197.00000000000009,52.99999999999997,5683.0,84.00000000000001,20758.99999999999,294.00000000000006,14.999999999999998,690.0,188.00000000000006,86.00000000000004,1746.9999999999986,201.99999999999986,157.0000000000001,9.999999999999991,169.00000000000003,624.0000000000005,38.99999999999998,44.00000000000004,411.00000000000017,722.0000000000006,32.00000000000003,263.0000000000001,7.0000000000000036,2020-04-24,202.0,9.0,243.0,46.0,1608.0,637.0,1765.0,103.0,154.0,1012.0,902.0,15.0,56.0,1762.0,740.0,105.0,114.0,198.0,1647.0,47.0,806.0,2568.0,3116.0,226.0,202.0,264.0,15.0,49.0,196.0,50.0,5592.0,84.0,21630.0,296.0,15.0,684.0,189.0,86.0,1694.0,200.0,158.0,9.0,169.0,614.0,37.0,47.0,404.0,725.0,32.0,262.0,6.0
209.00000000000006,9.000000000000005,272.99999999999994,48.000000000000036,1689.000000000001,683.9999999999994,1864.9999999999998,112.00000000000001,165.00000000000009,1054.9999999999993,907.0,12.999999999999991,55.99999999999998,1875.0000000000014,785.9999999999997,111.99999999999997,120.00000000000007,205.00000000000003,1707.0000000000002,46.99999999999998,874.9999999999993,2730.0,3155.0000000000023,244.00000000000009,221.00000000000017,281.0000000000002,13.99999999999999,49.99999999999997,205.0,52.99999999999997,5913.999999999998,93.00000000000007,21326.0,305.00000000000017,15.999999999999998,710.9999999999995,193.9999999999999,87.00000000000009,1792.9999999999995,215.0000000000001,165.99999999999994,9.999999999999991,176.99999999999997,638.0000000000002,40.999999999999986,46.00000000000003,436.99999999999983,737.0,32.00000000000003,265.99999999999983,7.0000000000000036,2020-04-25,212.0,9.0,256.0,49.0,1674.0,659.0,1843.0,110.0,164.0,1054.0,935.0,15.0,56.0,1853.0,786.0,113.0,118.0,204.0,1691.0,48.0,855.0,2718.0,3224.0,243.0,213.0,278.0,15.0,52.0,203.0,53.0,5844.0,90.0,21912.0,311.0,16.0,721.0,194.0,88.0,1811.0,212.0,169.0,10.0,174.0,641.0,38.0,47.0,428.0,738.0,33.0,270.0,6.0
218.99999999999991,9.000000000000005,274.9999999999998,50.99999999999998,1725.000000000001,688.0000000000002,1924.0000000000005,120.00000000000003,178.0,1075.0000000000005,916.0000000000008,13.999999999999998,55.99999999999998,1933.0000000000011,813.0,118.00000000000006,121.00000000000001,207.99999999999997,1729.0000000000007,49.99999999999996,910.0000000000003,2899.0000000000014,3315.0000000000005,272.0000000000001,226.99999999999991,282.9999999999999,13.99999999999999,55.99999999999997,205.99999999999994,59.99999999999998,5938.0,98.99999999999994,21803.999999999993,324.0,17.000000000000007,727.9999999999997,194.99999999999986,91.99999999999994,1816.0000000000002,226.00000000000006,173.9999999999999,11.0,181.0000000000001,651.0,40.999999999999986,46.00000000000003,448.99999999999966,749.0,33.99999999999999,272.00000000000017,7.0000000000000036,2020-04-26,223.0,9.0,271.0,52.0,1740.0,681.0,1922.0,118.0,174.0,1095.0,968.0,15.0,57.0,1946.0,832.0,120.0,123.0,211.0,1734.0,49.0,904.0,2870.0,3331.0,262.0,225.0,291.0,15.0,54.0,210.0,57.0,6096.0,96.0,22193.0,327.0,17.0,759.0,199.0,91.0,1931.0,224.0,181.0,11.0,179.0,669.0,40.0,47.0,452.0,752.0,35.0,279.0,6.0
227.99999999999994,9.000000000000005,274.9999999999998,50.99999999999998,1779.0000000000011,706.0000000000001,2011.999999999999,125.00000000000011,185.0000000000001,1088.0000000000005,995.0000000000003,16.0,55.99999999999998,1983.0000000000011,843.9999999999999,126.9999999999999,126.00000000000009,213.00000000000006,1740.0000000000005,50.99999999999995,945.0000000000007,3003.0,3407.0,286.00000000000017,228.9999999999999,303.0,13.99999999999999,55.99999999999997,205.99999999999994,59.99999999999998,6043.999999999999,98.99999999999994,22266.999999999993,340.0000000000003,18.999999999999986,753.0000000000003,197.00000000000003,91.99999999999994,1885.9999999999998,233.00000000000009,177.0,11.0,183.99999999999994,665.9999999999998,40.999999999999986,46.99999999999997,459.99999999999966,763.9999999999997,33.99999999999999,281.0000000000002,7.0000000000000036,2020-04-27,235.0,9.0,285.0,55.0,1808.0,704.0,2002.0,125.0,184.0,1138.0,1001.0,15.0,58.0,2041.0,880.0,129.0,127.0,217.0,1778.0,50.0,955.0,3024.0,3436.0,281.0,237.0,305.0,15.0,57.0,217.0,61.0,6348.0,102.0,22474.0,342.0,18.0,798.0,204.0,94.0,2055.0,236.0,193.0,12.0,185.0,697.0,41.0,48.0,478.0,765.0,36.0,287.0,6.0
242.00000000000014,9.000000000000005,274.9999999999998,57.00000000000001,1863.9999999999998,735.9999999999993,2087.0,137.00000000000009,189.99999999999983,1170.9999999999998,1035.9999999999993,16.0,59.99999999999998,2124.9999999999986,901.0000000000001,136.00000000000009,126.99999999999999,225.0000000000002,1801.0,50.99999999999995,1015.9999999999997,3153.000000000002,3568.000000000002,301.00000000000017,239.0000000000001,330.00000000000006,14.999999999999991,55.99999999999997,219.00000000000014,59.99999999999998,6441.999999999999,104.99999999999993,22777.000000000007,363.0,18.999999999999986,798.9999999999995,206.99999999999997,98.99999999999999,2045.9999999999984,239.00000000000009,191.99999999999986,11.0,188.00000000000006,719.0000000000006,40.999999999999986,46.99999999999997,492.0000000000003,786.0000000000002,38.000000000000014,299.9999999999998,7.0000000000000036,2020-04-28,246.0,9.0,300.0,58.0,1876.0,727.0,2081.0,132.0,194.0,1180.0,1034.0,15.0,59.0,2138.0,928.0,137.0,131.0,224.0,1821.0,51.0,1006.0,3179.0,3539.0,301.0,249.0,319.0,15.0,59.0,224.0,65.0,6598.0,109.0,22756.0,358.0,19.0,838.0,209.0,97.0,2181.0,248.0,205.0,14.0,190.0,726.0,43.0,48.0,504.0,779.0,38.0,296.0,6.0
255.9999999999998,9.000000000000005,307.9999999999998,57.00000000000001,1946.0000000000016,765.9999999999994,2168.9999999999995,144.00000000000009,205.00000000000006,1217.999999999999,1101.0000000000002,16.0,59.99999999999998,2215.0,964.0000000000003,148.00000000000009,134.00000000000006,234.00000000000006,1845.0,52.000000000000014,1078.0000000000002,3404.9999999999986,3669.999999999999,318.99999999999994,249.99999999999994,338.0000000000001,15.99999999999999,55.99999999999997,230.00000000000017,59.99999999999998,6771.000000000001,111.99999999999991,23286.999999999993,382.00000000000017,18.999999999999986,936.9999999999994,213.99999999999997,101.00000000000001,2373.000000000001,250.9999999999999,231.00000000000017,12.999999999999993,194.9999999999999,753.9999999999999,45.000000000000014,46.99999999999997,521.9999999999997,800.9999999999999,38.000000000000014,307.99999999999994,7.0000000000000036,2020-04-29,258.0,9.0,316.0,61.0,1946.0,750.0,2161.0,140.0,205.0,1223.0,1067.0,15.0,60.0,2238.0,976.0,146.0,135.0,231.0,1864.0,52.0,1058.0,3336.0,3640.0,321.0,262.0,334.0,15.0,62.0,231.0,69.0,6847.0,116.0,23037.0,375.0,20.0,879.0,214.0,100.0,2310.0,261.0,217.0,15.0,195.0,756.0,45.0,48.0,530.0,792.0,39.0,304.0,7.0
271.99999999999994,9.000000000000005,320.0000000000001,61.000000000000014,2030.9999999999989,776.9999999999995,2256.9999999999995,151.99999999999994,224.00000000000014,1268.0000000000007,1131.9999999999998,16.0,59.99999999999998,2355.000000000002,1114.0000000000007,162.0000000000001,134.00000000000006,240.00000000000017,1905.0000000000007,52.99999999999996,1140.0,3561.9999999999986,3789.0000000000014,342.99999999999983,260.99999999999994,349.99999999999994,15.99999999999999,70.00000000000003,243.00000000000009,72.0,7227.999999999998,122.9999999999999,23615.999999999993,405.9999999999998,18.999999999999986,975.9999999999992,222.00000000000003,102.99999999999991,2474.999999999999,266.0,244.0000000000001,17.000000000000014,198.99999999999983,812.0000000000003,46.00000000000002,49.000000000000036,551.9999999999997,814.0000000000007,40.999999999999986,316.0000000000001,7.0000000000000036,2020-04-30,270.0,9.0,332.0,64.0,2016.0,774.0,2240.0,148.0,216.0,1266.0,1101.0,15.0,60.0,2339.0,1025.0,155.0,139.0,238.0,1906.0,53.0,1111.0,3492.0,3739.0,343.0,275.0,348.0,15.0,65.0,239.0,74.0,7093.0,123.0,23318.0,391.0,21.0,920.0,219.0,103.0,2440.0,274.0,229.0,17.0,200.0,785.0,47.0,49.0,557.0,805.0,41.0,313.0,7.0
289.0000000000001,9.000000000000005,329.9999999999999,63.999999999999986,2126.0000000000014,820.9999999999999,2339.000000000001,158.99999999999994,230.99999999999994,1313.9999999999993,1169.000000000001,16.0,63.0,2457.0000000000014,1174.9999999999995,169.99999999999994,139.99999999999991,246.00000000000014,1970.0000000000005,54.99999999999999,1080.000000000001,3715.9999999999986,3866.0000000000005,369.99999999999983,280.99999999999994,359.99999999999983,15.99999999999999,73.00000000000004,246.00000000000003,81.00000000000003,7537.999999999999,131.00000000000003,23841.0,418.99999999999966,22.999999999999986,1002.9999999999999,230.00000000000009,104.00000000000007,2634.9999999999995,278.99999999999994,256.0,20.99999999999999,203.99999999999997,840.0000000000003,46.00000000000002,50.00000000000004,581.0000000000002,823.9999999999998,46.00000000000003,327.0000000000001,7.0000000000000036,2020-05-01,282.0,9.0,349.0,66.0,2087.0,797.0,2319.0,156.0,226.0,1310.0,1135.0,15.0,61.0,2441.0,1074.0,165.0,143.0,245.0,1947.0,54.0,1165.0,3649.0,3836.0,364.0,288.0,363.0,15.0,68.0,246.0,78.0,7335.0,130.0,23599.0,408.0,23.0,962.0,223.0,105.0,2572.0,287.0,242.0,18.0,205.0,815.0,48.0,49.0,584.0,818.0,42.0,321.0,7.0
287.9999999999999,9.000000000000005,329.9999999999999,72.0,2180.0,832.0000000000005,2435.9999999999995,167.99999999999991,239.99999999999997,1364.0000000000002,1177.0,16.0,63.99999999999997,2558.999999999998,1114.9999999999998,174.99999999999994,142.0000000000001,247.99999999999986,1993.0,55.99999999999995,1250.9999999999998,3846.0,4020.9999999999995,394.0,290.9999999999999,376.0000000000001,15.99999999999999,73.00000000000004,254.99999999999983,84.00000000000004,7741.999999999998,138.00000000000003,24035.000000000007,430.99999999999966,23.99999999999998,1021.9999999999997,238.00000000000014,109.00000000000009,2695.0000000000005,295.9999999999999,267.0000000000001,20.99999999999999,208.99999999999986,862.9999999999994,49.000000000000036,50.99999999999996,616.9999999999994,830.0000000000007,48.000000000000014,334.0000000000002,7.0000000000000036,2020-05-02,294.0,9.0,366.0,69.0,2159.0,821.0,2397.0,164.0,237.0,1354.0,1168.0,16.0,62.0,2545.0,1124.0,175.0,147.0,251.0,1988.0,55.0,1219.0,3806.0,3929.0,387.0,301.0,378.0,15.0,71.0,253.0,83.0,7574.0,138.0,23879.0,425.0,24.0,1005.0,228.0,108.0,2706.0,301.0,254.0,20.0,211.0,846.0,50.0,49.0,612.0,831.0,44.0,330.0,7.0
